School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Teacher Count,Teacher Turnover Count,Turnover Percent
20232024,,,999,All Districts,,All Schools,999000,,,909,,,"49,691","11,204",22.5
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,902,GRREC,,203,39,19.2
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,902,GRREC,A1,61,11,18.0
20232024,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,902,GRREC,A6,5,1,20.0
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,902,GRREC,A1,49,15,30.6
20232024,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,902,GRREC,A1,41,4,9.8
20232024,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,902,GRREC,A1,47,8,17.0
20232024,002,ALLEN,005,Allen County,,All Schools,005000,,,902,GRREC,,196,39,19.9
20232024,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,902,GRREC,A1,60,12,20.0
20232024,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,902,GRREC,A1,30,6,20.0
20232024,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,902,GRREC,A1,61,11,18.0
20232024,002,ALLEN,005,Allen County,025,Patriot Academy,005025,002005025,210007002535,902,GRREC,A5,3,1,33.3
20232024,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,902,GRREC,A1,42,9,21.4
20232024,002,ALLEN,005,Allen County,901,Allen County Career and Technical Center,005901,002005901,210007002061,902,GRREC,A2,0,0,0.0
20232024,056,JEFFERSON,006,Anchorage Independent,,All Schools,006000,,,906,OVEC,,37,2,5.4
20232024,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,906,OVEC,A1,37,2,5.4
20232024,003,ANDERSON,011,Anderson County,,All Schools,011000,,,901,CKEC,,240,53,22.1
20232024,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,901,CKEC,A1,82,17,20.7
20232024,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,901,CKEC,A1,31,2,6.5
20232024,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,901,CKEC,A1,49,16,32.7
20232024,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,901,CKEC,A1,24,5,20.8
20232024,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,901,CKEC,A1,32,6,18.8
20232024,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,901,CKEC,A1,22,7,31.8
20232024,010,BOYD,012,Ashland Independent,,All Schools,012000,,,903,KEDC,,243,77,31.7
20232024,010,BOYD,012,Ashland Independent,005,Ashland Alternative School,012005,010012005,210015002487,903,KEDC,A5,2,0,0.0
20232024,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,903,KEDC,A1,68,16,23.5
20232024,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,903,KEDC,A4,10,3,30.0
20232024,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,903,KEDC,A1,55,24,43.6
20232024,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,903,KEDC,A1,21,7,33.3
20232024,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,903,KEDC,A1,23,9,39.1
20232024,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,903,KEDC,A1,23,7,30.4
20232024,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,903,KEDC,A1,23,6,26.1
20232024,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,903,KEDC,A1,18,5,27.8
20232024,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,,903,KEDC,,24,5,20.8
20232024,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,903,KEDC,A1,24,5,20.8
20232024,004,BALLARD,015,Ballard County,,All Schools,015000,,,908,WKEC,,88,14,15.9
20232024,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,908,WKEC,A1,24,3,12.5
20232024,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,908,WKEC,A1,27,5,18.5
20232024,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,908,WKEC,A1,32,6,18.8
20232024,004,BALLARD,015,Ballard County,070,Ballard Co. Preschool/Headstart Center,015070,004015070,210021000040,908,WKEC,A4,5,0,0.0
20232024,004,BALLARD,015,Ballard County,905,Ballard County Career and Technology Ctr,015905,004015905,210021002404,908,WKEC,A2,0,0,0.0
20232024,061,KNOX,016,Barbourville Independent,,All Schools,016000,,,907,SESC,,47,3,6.4
20232024,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,907,SESC,A1,46,3,6.5
20232024,061,KNOX,016,Barbourville Independent,015,Barbourville Learning Center,016015,061016015,210024002542,907,SESC,A5,1,0,0.0
20232024,090,NELSON,017,Bardstown Independent,,All Schools,017000,,,901,CKEC,,212,46,21.7
20232024,090,NELSON,017,Bardstown Independent,005,Bardstown Alternative School,017005,090017005,210027002359,901,CKEC,A5,6,3,50.0
20232024,090,NELSON,017,Bardstown Independent,009,Bardstown Early Childhood Center,017009,090017009,210027002222,901,CKEC,A4,11,2,18.2
20232024,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,901,CKEC,A1,60,5,8.3
20232024,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,901,CKEC,A1,27,8,29.6
20232024,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,901,CKEC,A1,63,18,28.6
20232024,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,901,CKEC,A1,45,10,22.2
20232024,005,BARREN,021,Barren County,,All Schools,021000,,,902,GRREC,,370,78,21.1
20232024,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,902,GRREC,A1,23,7,30.4
20232024,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,902,GRREC,A5,14,3,21.4
20232024,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,902,GRREC,A8,7,2,28.6
20232024,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,902,GRREC,A1,36,5,13.9
20232024,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,902,GRREC,A1,98,17,17.3
20232024,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,902,GRREC,A1,29,3,10.3
20232024,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,902,GRREC,A1,47,18,38.3
20232024,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,902,GRREC,A1,24,6,25.0
20232024,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,902,GRREC,A1,24,8,33.3
20232024,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,902,GRREC,A1,46,5,10.9
20232024,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,902,GRREC,A1,22,4,18.2
20232024,006,BATH,025,Bath County,,All Schools,025000,,,903,KEDC,,135,40,29.6
20232024,006,BATH,025,Bath County,012,Second Chance Academy,025012,006025012,210033002335,903,KEDC,A5,2,2,100.0
20232024,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,903,KEDC,A1,32,5,15.6
20232024,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,903,KEDC,A1,28,12,42.9
20232024,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,903,KEDC,A1,30,7,23.3
20232024,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,903,KEDC,A1,43,14,32.6
20232024,059,KENTON,026,Beechwood Independent,,All Schools,026000,,,905,NKCES,,101,22,21.8
20232024,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,905,NKCES,A1,46,5,10.9
20232024,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,905,NKCES,A1,52,17,32.7
20232024,059,KENTON,026,Beechwood Independent,420,Guardian Angel,026420,059026420,210036002409,905,NKCES,A6,3,0,0.0
20232024,007,BELL,031,Bell County,,All Schools,031000,,,907,SESC,,182,32,17.6
20232024,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,907,SESC,A1,34,6,17.6
