School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Impact Measure,Impact Value
20232024,,,999,All Districts,,All Schools,999000,,,909,,,Managing Student Behavior,67
20232024,,,999,All Districts,,All Schools,999000,,,909,,,School Climate,65
20232024,,,999,All Districts,,All Schools,999000,,,909,,,School Leadership,69
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,902,GRREC,,Managing Student Behavior,55
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,902,GRREC,,School Climate,45
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,902,GRREC,,School Leadership,53
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,902,GRREC,A1,Managing Student Behavior,67
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,902,GRREC,A1,School Climate,45
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,902,GRREC,A1,School Leadership,55
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,902,GRREC,A1,Managing Student Behavior,46
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,902,GRREC,A1,School Climate,32
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,902,GRREC,A1,School Leadership,41
20232024,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,902,GRREC,A1,Managing Student Behavior,49
20232024,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,902,GRREC,A1,School Climate,47
20232024,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,902,GRREC,A1,School Leadership,56
20232024,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,902,GRREC,A1,Managing Student Behavior,60
20232024,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,902,GRREC,A1,School Climate,58
20232024,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,902,GRREC,A1,School Leadership,62
20232024,002,ALLEN,005,Allen County,,All Schools,005000,,,902,GRREC,,Managing Student Behavior,46
20232024,002,ALLEN,005,Allen County,,All Schools,005000,,,902,GRREC,,School Climate,41
20232024,002,ALLEN,005,Allen County,,All Schools,005000,,,902,GRREC,,School Leadership,49
20232024,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,902,GRREC,A1,Managing Student Behavior,41
20232024,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,902,GRREC,A1,School Climate,41
20232024,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,902,GRREC,A1,School Leadership,36
20232024,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,902,GRREC,A1,Managing Student Behavior,54
20232024,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,902,GRREC,A1,School Climate,51
20232024,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,902,GRREC,A1,School Leadership,61
20232024,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,902,GRREC,A1,Managing Student Behavior,33
20232024,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,902,GRREC,A1,School Climate,18
20232024,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,902,GRREC,A1,School Leadership,37
20232024,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,902,GRREC,A1,Managing Student Behavior,58
20232024,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,902,GRREC,A1,School Climate,55
20232024,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,902,GRREC,A1,School Leadership,63
20232024,056,JEFFERSON,006,Anchorage Independent,,All Schools,006000,,,906,OVEC,,Managing Student Behavior,82
20232024,056,JEFFERSON,006,Anchorage Independent,,All Schools,006000,,,906,OVEC,,School Climate,76
20232024,056,JEFFERSON,006,Anchorage Independent,,All Schools,006000,,,906,OVEC,,School Leadership,70
20232024,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,906,OVEC,A1,Managing Student Behavior,82
20232024,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,906,OVEC,A1,School Climate,76
20232024,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,906,OVEC,A1,School Leadership,70
20232024,003,ANDERSON,011,Anderson County,,All Schools,011000,,,901,CKEC,,Managing Student Behavior,52
20232024,003,ANDERSON,011,Anderson County,,All Schools,011000,,,901,CKEC,,School Climate,49
20232024,003,ANDERSON,011,Anderson County,,All Schools,011000,,,901,CKEC,,School Leadership,51
20232024,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,901,CKEC,A1,Managing Student Behavior,52
20232024,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,901,CKEC,A1,School Climate,41
20232024,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,901,CKEC,A1,School Leadership,58
20232024,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,901,CKEC,A1,Managing Student Behavior,82
20232024,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,901,CKEC,A1,School Climate,81
20232024,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,901,CKEC,A1,School Leadership,74
20232024,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,901,CKEC,A1,Managing Student Behavior,51
20232024,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,901,CKEC,A1,School Climate,38
20232024,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,901,CKEC,A1,School Leadership,48
20232024,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,901,CKEC,A1,Managing Student Behavior,34
20232024,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,901,CKEC,A1,School Climate,35
20232024,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,901,CKEC,A1,School Leadership,22
20232024,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,901,CKEC,A1,Managing Student Behavior,52
20232024,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,901,CKEC,A1,School Climate,56
20232024,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,901,CKEC,A1,School Leadership,75
20232024,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,901,CKEC,A1,Managing Student Behavior,41
20232024,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,901,CKEC,A1,School Climate,45
20232024,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,901,CKEC,A1,School Leadership,33
20232024,010,BOYD,012,Ashland Independent,,All Schools,012000,,,903,KEDC,,Managing Student Behavior,64
20232024,010,BOYD,012,Ashland Independent,,All Schools,012000,,,903,KEDC,,School Climate,66
20232024,010,BOYD,012,Ashland Independent,,All Schools,012000,,,903,KEDC,,School Leadership,68
20232024,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,903,KEDC,A1,Managing Student Behavior,60
20232024,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,903,KEDC,A1,School Climate,57
20232024,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,903,KEDC,A1,School Leadership,57
20232024,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,903,KEDC,A4,Managing Student Behavior,81
20232024,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,903,KEDC,A4,School Climate,83
20232024,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,903,KEDC,A4,School Leadership,81
20232024,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,903,KEDC,A1,Managing Student Behavior,42
20232024,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,903,KEDC,A1,School Climate,40
20232024,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,903,KEDC,A1,School Leadership,50
20232024,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,903,KEDC,A1,Managing Student Behavior,47
20232024,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,903,KEDC,A1,School Climate,39
20232024,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,903,KEDC,A1,School Leadership,31
20232024,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,903,KEDC,A1,Managing Student Behavior,71
20232024,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,903,KEDC,A1,School Climate,78
20232024,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,903,KEDC,A1,School Leadership,83
20232024,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,903,KEDC,A1,Managing Student Behavior,68
20232024,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,903,KEDC,A1,School Climate,73
20232024,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,903,KEDC,A1,School Leadership,75
20232024,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,903,KEDC,A1,Managing Student Behavior,73
20232024,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,903,KEDC,A1,School Climate,84
20232024,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,903,KEDC,A1,School Leadership,84
20232024,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,903,KEDC,A1,Managing Student Behavior,75
20232024,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,903,KEDC,A1,School Climate,81
20232024,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,903,KEDC,A1,School Leadership,87
