dist_no,district_name,average_salary_23-24,impact_measure,impact_value
001,ADAIR ,56572.35,School Leadership,53
005,ALLEN ,58546.96,School Leadership,49
006,ANCHORAGE,81282.49,School Leadership,70
011,ANDERSON ,58451.95,School Leadership,51
012,ASHLAND,56241.45,School Leadership,68
013,AUGUSTA,55779.79,School Leadership,85
015,BALLARD ,57308.89,School Leadership,69
016,BARBOURVILLE,55957.51,School Leadership,76
017,BARDSTOWN,69103.89,School Leadership,67
021,BARREN ,61690.39,School Leadership,75
025,BATH ,53509.56,School Leadership,71
026,BEECHWOOD,65443.89,School Leadership,59
031,BELL ,56385.76,School Leadership,79
032,BELLEVUE,61490.69,School Leadership,56
034,BEREA,62453.16,School Leadership,67
035,BOONE ,66526.38,School Leadership,60
041,BOURBON ,57106.12,School Leadership,77
042,BOWLING GREEN,61376.15,School Leadership,68
045,BOYD ,60135.12,School Leadership,65
051,BOYLE ,62925.34,School Leadership,75
055,BRACKEN ,55834.65,School Leadership,47
061,BREATHITT ,57608.95,School Leadership,78
065,BRECKINRIDGE ,59751.11,School Leadership,65
071,BULLITT ,65462.26,School Leadership,64
072,BURGIN,58859.93,School Leadership,71
075,BUTLER ,58009.65,School Leadership,73
081,CALDWELL ,58124.08,School Leadership,78
085,CALLOWAY ,60505.8,School Leadership,74
091,CAMPBELL ,64016.82,School Leadership,60
092,CAMPBELLSVILLE,58217.64,School Leadership,69
095,CARLISLE ,54517.97,School Leadership,61
101,CARROLL ,61747.49,School Leadership,60
105,CARTER ,57834.14,School Leadership,83
111,CASEY ,55405.28,School Leadership,69
113,CAVERNA,60412.1,School Leadership,55
115,CHRISTIAN ,53351.72,School Leadership,72
121,CLARK ,57213.3,School Leadership,69
125,CLAY ,55436.83,School Leadership,75
131,CLINTON ,54423.98,School Leadership,54
132,CLOVERPORT,50823.64,School Leadership,37
133,RBIN,61271.17,School Leadership,75
134,VINGTON,60668.52,School Leadership,65
135,CRITTENDEN ,56042.02,School Leadership,62
141,CUMBERLAND ,55934.83,School Leadership,56
143,DANVILLE,60523.11,School Leadership,72
145,DAVIESS ,62673.99,School Leadership,72
146,DAWSON SPGS,54456.02,School Leadership,82
147,DAYTON,65067.13,School Leadership,68
149,E BERNSTADT,60289.49,School Leadership,79
151,EDMONSON ,53753.59,School Leadership,76
152,ELIZABETHTOWN,61402.57,School Leadership,65
155,ELLIOTT ,51092.88,School Leadership,66
156,EMINENCE,53070.07,School Leadership,75
157,ERLANGER,65076.99,School Leadership,75
161,ESTILL ,56432.35,School Leadership,65
162,FAIRVIEW,56723.67,School Leadership,77
165,FAYETTE ,75735.12,School Leadership,64
171,FLEMING ,53798.2,School Leadership,62
175,FLOYD ,55825.19,School Leadership,80
176,FT THOMAS,72662.72,School Leadership,60
177,FRANKFORT,56272.32,School Leadership,56
181,FRANKLIN ,60698.2,School Leadership,75
185,FULTON ,53242.71,School Leadership,64
191,GALLATIN ,59054.83,School Leadership,56
195,GARRARD ,55517.21,School Leadership,68
197,GLASGOW,63350.95,School Leadership,66
201,GRANT ,53209.63,School Leadership,58
205,GRAVES ,57594.36,School Leadership,75
211,GRAYSON ,55735.08,School Leadership,63
215,GREEN ,55894.84,School Leadership,61
221,GREENUP ,53997.78,School Leadership,80
225,HANCK ,63159.13,School Leadership,69
231,HARDIN ,61133.53,School Leadership,71
235,HARLAN ,53959.52,School Leadership,72
236,HARLAN,53713.06,School Leadership,47
241,HARRISON ,59390.47,School Leadership,57
245,HART ,56398.54,School Leadership,82
246,HAZARD,56948.11,School Leadership,94
251,HENDERSON ,59957.33,School Leadership,72
255,HENRY ,57382.47,School Leadership,79
261,HICKMAN ,54861.85,School Leadership,75
265,HOPKINS ,55589.92,School Leadership,81
271,JACKSON ,54695.85,School Leadership,70
272,JACKSON,58647.85,School Leadership,82
275,JEFFERSON ,79020.21,School Leadership,62
276,JENKINS,54786.19,School Leadership,66
281,JESSAMINE ,64027.29,School Leadership,68
285,JOHNSON ,57739.66,School Leadership,88
291,KENTON ,66243.62,School Leadership,67
295,KNOTT ,58005.78,School Leadership,73
301,KNOX ,54425.9,School Leadership,74
305,LARUE ,61748.05,School Leadership,67
311,LAUREL ,59836.63,School Leadership,71
315,LAWRENCE ,53074.18,School Leadership,75
